Team,Player,Event,Type,X,Y,X2,Y2
USA,C.Pulisic,Shot,,57,5,48,
NED,D.Demfries,Shot Assist,,93,83,87,54
NED,M.Depay,Shot,Goal,87,54,99,41
NED,M.Depay,Shot,,88,74,99,24
NED,D.Demfries,Shot Assist,,98,71,89,50
NED,D.Blind,Shot,Goal,89,50,99,41
NED,M.Depay,Shot,,93,60,98,62
NED,D.Demfries,Shot,,78,56,98,39
NED,M.Depay,Shot,,95,45,98,51
USA,C.Pulisic,Shot Assist,,9,32,4,48
USA,H.Wright,Shot,Goal,4,48,1,60
NED,D.Blind,Cross,,88,10,94,60
NED,D.Demfries,Shot,Goal,94,60,99,44
